Day_Of_Year,month,date,year,m0,m5,m10,m15,m25,m50,m65
30,1,30,1962,-0.9,-0.7,-1,-0.7,-0.1,-0.6,-0.6
41,2,10,1962,-0.9,-0.4,-0.3,-0.4,-0.5,-0.7,-0.6
51,2,20,1962,-0.4,-0.7,-0.8,-0.6,-0.2,0.5,0.5
60,3,1,1962,-0.7,-0.8,-0.9,-0.6,0.1,0.3,0.3
69,3,10,1962,-1,-0.5,-0.4,-0.3,0,0.2,0.1
80,3,21,1962,-0.4,-0.6,-0.6,-0.4,,-0.2,-0.3
90,3,31,1962,-0.7,-0.8,-0.9,-0.7,-0.2,-0.2,-0.3
100,4,10,1962,0.1,-0.9,-1.1,-0.8,-0.3,-0.3,-0.4
110,4,20,1962,0,-0.4,-0.6,-0.5,-0.4,-0.3,-0.4
118,4,28,1962,0.3,0,0,-0.1,-0.4,-0.6,-0.6
137,5,17,1962,5.3,2.1,0,-0.2,-0.6,-0.6,-0.7
150,5,30,1962,7,5,4.1,2.7,-0.2,-0.6,-0.6
162,6,11,1962,6.1,6.1,5.3,3.5,-0.1,-0.7,-0.7
171,6,20,1962,10.9,5.9,2.4,1.7,0.1,-0.5,-0.5
181,6,30,1962,12.1,11.5,10.9,8.6,4,0.3,0.3
191,7,10,1962,13.3,12.5,12.1,10.7,7.9,2.5,2.4
201,7,20,1962,12.4,11.3,11,10.1,9.1,2.4,2.2
214,8,2,1962,13.2,12.9,12.7,10.8,6.8,2.4,2.1
222,8,10,1962,13.3,12.3,9.9,8.7,5.9,2.1,2
235,8,23,1962,12.6,12.9,11.3,8.5,3.6,2.1,2
247,9,4,1962,12,11,11,9.6,6.3,2.4,2.2
247,9,4,1962,12,11,11,9.6,6.3,2.4,2.2
256,9,13,1962,9.8,10.2,9.1,8.9,7.5,2.7,2.6
263,9,20,1962,9.1,9.1,9.1,8.9,8.4,1.6,1.2
275,10,2,1962,7.6,7.9,7.4,6,3.5,2.2,2.2
293,10,20,1962,4.2,4.6,4.1,3.6,2.6,0.5,0.4
301,10,28,1962,2.6,2.6,2.7,2.5,2.1,1.2,1.2
316,11,12,1962,2.3,2.3,2.3,2.5,2.6,2.1,2.1
325,11,21,1962,1,1.7,2,2.4,2.7,1.7,1.7
335,12,1,1962,0.7,0.7,0.8,1.1,1.6,2.1,2.1
348,12,14,1962,-0.6,-0.6,-0.7,-0.7,-0.6,-0.4,-0.2
359,12,25,1962,-1.3,-1.2,-1.1,-1.1,-1.2,0.7,0.8
