4,19,1993,-1.3,-1.3,-1.2,-1.2,-1.2,-1.1,-1.1
4,19,1993,-1.3,-1.3,-1.2,-1.2,-1.2,-1.1,-1.1
5,12,1993,1.9,1,0.6,0,-0.8,-1.1,-1.1
5,20,1993,5.7,5.5,2.5,-0.1,-1,-1.1,-1.1
5,31,1993,7,6,3.7,1,-0.7,-0.9,-0.9
6,10,1993,8.3,8.2,6,4.7,1.4,-1,-1
6,21,1993,11.7,7.5,2.7,1.3,0.3,-0.8,-0.8
7,3,1993,12.5,10.9,10.5,8,2,0.3,0
7,11,1993,12.4,11.3,10.8,7.5,1.4,0.1,0
7,21,1993,16.8,14,13,11.3,6.7,1,0.6
7,31,1993,16.5,15.3,13.6,12.7,9.5,1.6,1.5
8,11,1993,15,15.2,14.3,9.5,3,0.8,0.6
8,21,1993,13.9,13.9,13.9,13,4.5,1.4,1.4
8,31,1993,12,12.1,12.3,12.3,2.4,0.8,0.7
9,11,1993,10.4,10.4,10.4,10.4,3.4,1,0.7
9,20,1993,7.9,7.9,8,8.1,1.7,1.1,1
9,30,1993,5.2,5.2,3.5,2.2,1,0.1,0
10,10,1993,3.9,3.9,3.9,3.7,2.3,0.8,0.8
10,20,1993,2,1.9,1.9,1.6,1.5,0.4,0.2
11,2,1993,0.1,,0.5,0.7,0.3,-0.4,-0.5
11,16,1993,-1.4,,-0.8,-0.6,-0.4,-0.5,-0.5
